,price,Price_sqft,locality,Division,region,latitude,longitude,area,Status,neworold,parking,Bedrooms,Bathrooms,Balcony,Lift,Furnished_status,type_of_building
0,5600000,4148.148,Noida Extension,Noida,east,28.60885,77.46056,1350.0,Under Construction,New Property,0,3,3,0,2,Semi-Furnished,Flat
1,8800000,5906.04,Sector 79,Gurgaon,west,28.37423557,76.95241631,1490.0,Under Construction,New Property,0,3,3,0,2,Semi-Furnished,Flat
2,12820000,6918.239,Vaishali,Ghaziabad,east,28.645769,77.38511,2050.0,Under Construction,New Property,1,4,5,0,0,Unfurnished,Flat
3,3810000,3628.571,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1",Greater Noida,east,28.566914,77.436434,1050.0,Under Construction,New Property,1,2,2,3,2,Unfurnished,Flat
4,6200000,4592.593,"Jaypee Pavilion Court Sector 128, Noida, Sector 128",Noida,east,28.520732,77.356491,1350.0,Under Construction,Resale,1,2,2,3,3,Semi-Furnished,Flat
5,3700000,3217.391,"tower 2, 6th floor, Crossings Republik",Ghaziabad,east,28.62804,77.437809,1150.0,Under Construction,New Property,0,2,2,3,0,Semi-Furnished,Flat
6,3270000,3674.157,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C",Noida,east,28.610645,77.455837,890.0,Under Construction,Resale,1,2,2,3,2,Semi-Furnished,Flat
7,3990000,4694.118,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102",Gurgaon,west,28.471233,76.969597,850.0,Under Construction,Resale,1,2,2,1,0,Semi-Furnished,Flat
8,3500000,3645.833,"Sector 2, Greater Noida, Sector 2",Greater Noida,east,28.5814311,77.4528192,960.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
9,5500000,3928.571,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension",Noida,east,28.614181,77.427713,1400.0,Under Construction,Resale,1,3,3,4,2,Semi-Furnished,Flat
10,7300000,7902.069,Sector 24 Rohini,New Delhi - Rohini,north,28.72407531738281,77.0955810546875,850.0,Under Construction,New Property,2,3,2,1,1,Semi-Furnished,Flat
11,7700000,6160.0,Gurgaon - Faridabad Road,Gurgaon,west,28.436305,77.13605,1250.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
12,10500000,6501.548,"Sector 110A, Gurgaon, Chandan Vihar",Gurgaon,west,28.513139724731445,77.02595520019531,1615.0,Under Construction,Resale,0,3,3,3,0,Unfurnished,Flat
13,7200000,6000.0,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137",Noida,east,28.5074613813646,77.4078166697626,1200.0,Under Construction,Resale,0,2,2,3,0,Semi-Furnished,Flat
14,7000000,4142.012,G T Road,Ghaziabad,east,28.679009,77.3492951427093,1690.0,Under Construction,Resale,0,3,3,0,0,Semi-Furnished,Flat
15,9500000,7902.069,Sector 24 Rohini,New Delhi - Rohini,core,28.721435546875,77.10701751708984,1000.0,Under Construction,New Property,2,3,2,1,1,Semi-Furnished,Individual House
16,12820000,7902.069,Sector 24 Rohini,New Delhi - Rohini,north,28.72721290588379,77.09606170654297,1450.0,Under Construction,New Property,2,4,3,1,1,Semi-Furnished,Individual House
17,4800000,4085.106,Noida Extension,Noida,east,28.616078045953845,77.42810224734058,1175.0,Under Construction,Resale,0,2,2,0,0,Semi-Furnished,Flat
18,5100000,4691.812,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali",Ghaziabad,east,28.6443099975586,77.331787109375,1087.0,Under Construction,Resale,1,2,2,2,2,Semi-Furnished,Flat
19,12820000,7588.076,"Sector 45, Noida, Sector 45",Noida,east,28.5469297107013,77.3543872945106,1845.0,Under Construction,Resale,2,3,3,3,2,Semi-Furnished,Flat
20,6250000,4464.286,Sector 37C,Gurgaon,west,28.449384,76.98441,1400.0,Under Construction,New Property,0,2,2,2,0,Semi-Furnished,Flat
21,8700000,5437.5,Sushant Lok 2,Gurgaon,west,28.423049,77.08741,1600.0,Under Construction,Resale,0,3,2,1,0,Unfurnished,Flat
22,12820000,6666.667,Sector 29,Noida,east,28.5697371550333,77.3324116681809,1950.0,Under Construction,Resale,0,3,3,2,0,Semi-Furnished,Individual House
23,12820000,7902.069,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128",Noida,east,28.529146,77.355843,1800.0,Under Construction,New Property,0,2,3,1,0,Semi-Furnished,Flat
24,5500000,3819.444,"Noida Extension, Noida., Noida Extension",Noida,east,28.587499354879053,77.44316979301459,1440.0,Under Construction,Resale,1,3,2,5,2,Semi-Furnished,Flat
25,4200000,4038.462,"Noida Extension, Noida, Noida Extension",Noida,east,28.616204,77.422256,1040.0,Under Construction,Resale,2,2,2,3,3,Semi-Furnished,Flat
26,3900000,3804.878,"Noida extension., Noida Extension",Greater Noida,east,28.57223,77.474898,1025.0,Under Construction,Resale,1,2,2,3,2,Semi-Furnished,Flat
27,10000000,5446.623,Sector 16 Vasundhara,Ghaziabad,east,28.6571606,77.355748,1836.0,Under Construction,Resale,0,3,2,0,0,Semi-Furnished,Individual House
28,7600000,5629.63,"Vaishali Ghaziabad, Vaishali",Ghaziabad,east,28.645769,77.38511,1350.0,Under Construction,Resale,1,3,2,4,3,Semi-Furnished,Flat
29,3900000,4875.0,"Sector 81, Gurgaon, Sector 81",Gurgaon,west,28.387731,76.96791987,800.0,Under Construction,Resale,0,2,2,1,2,Semi-Furnished,Flat
30,9000000,6076.975,"sector 103 gurgaon, Dwarka Expressway",Gurgaon,west,28.49744987487793,77.02709197998047,1481.0,Under Construction,Resale,2,2,2,2,2,Unfurnished,Flat
31,8350000,5972.818,"lotus boulevard, Sector 100",Noida,east,28.5434121846104,77.367853,1398.0,Under Construction,Resale,1,2,2,2,3,Semi-Furnished,Flat
32,12820000,6279.07,"Adhunik CGHS, Opp Tau Devil Lal Bio DiversitPark, Sector 52, Gurugram, Delhi NCR, Sector 52",Gurgaon,west,28.435208771263,77.0902252334016,2050.0,Under Construction,Resale,1,3,3,4,0,Semi-Furnished,Individual House
33,5310000,4827.273,Shakti Khand 2,Ghaziabad,east,28.6467392,77.3709475,1100.0,Under Construction,Resale,0,3,2,0,0,Furnished,Flat
34,12820000,7653.061,Sector 68,Gurgaon,west,28.3907304,77.05782257,1960.0,Under Construction,Resale,0,3,3,0,0,Semi-Furnished,Flat
35,12820000,7142.857,"Sector 104, Gurgaon, Sector 104",Gurgaon,west,28.482277,76.99199526,2050.0,Under Construction,New Property,2,3,3,3,2,Semi-Furnished,Flat
36,5000000,5000.0,"Aspire1106, Sector 78",Noida,east,28.5604873040921,77.384084,1000.0,Under Construction,Resale,1,2,2,3,2,Semi-Furnished,Flat
37,3500000,4117.647,"Gali No 9, Garhi Jharia Maria",New Delhi - South,core,28.559850692749023,77.24765014648438,850.0,Under Construction,Resale,0,2,2,1,0,Furnished,Flat
38,4550000,4789.474,Krishna Park Colony,New Delhi - South,core,28.50809,77.2314673,950.0,Under Construction,New Property,1,3,2,1,1,Semi-Furnished,Flat
39,4000000,5714.286,"Amritpuri B East of Kailash, Amritpuri",New Delhi - South,core,28.558586,77.2511855,700.0,Under Construction,Resale,0,2,2,0,0,Unfurnished,Flat
40,3500000,4666.667,"Shalimar Garden Exten 1 near Gulmohar park, Shalimar garden",Ghaziabad,east,28.6895694732666,77.33861541748047,750.0,Under Construction,Resale,0,2,2,2,0,Semi-Furnished,Flat
41,3500000,3684.211,"205. Hardik tower sector 53 Noida, Sector 53",Noida,east,28.5905383,77.35981,950.0,Under Construction,Resale,1,2,2,1,1,Semi-Furnished,Individual House
42,2400000,4444.444,"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony",New Delhi - Dwarka,south,28.59227180480957,77.08367919921875,540.0,Under Construction,New Property,0,2,2,1,0,Semi-Furnished,Flat
43,12820000,7902.069,"Central park the resorts sector 48 gurgaon, Sector 48",Gurgaon,west,28.424904,77.03476,2050.0,Under Construction,Resale,4,5,5,3,2,Semi-Furnished,Individual House
